objectID,bairr_mun,empregos,populacao,pia,domicilios,area_plan,RA,pop2000,renda
404,Abolição,2982,11356,7960,4034,3,NA,12346,2973.02
348,Acari,2306,27347,18231,7915,3,NA,24650,1071.97
431,Água Santa,740,8756,6590,2413,3,NA,7243,2989.23
452,Alto da Boa Vista,881,9343,6398,2891,2,NA,8254,3907.18
347,Anchieta,3929,55652,38901,17557,3,NA,53808,1799.4
446,Andaraí,7247,39365,27706,14258,2,NA,38540,4497.93
459,Anil,7818,24172,17527,7801,4,NA,21551,4594.87
327,Bancários,391,12512,9014,3781,3,NA,12126,2481.81
511,Bangu,27709,243125,169966,75715,5,NA,244518,1840.32
471,Barra da Tijuca,156901,135924,99385,48628,4,NA,92233,11535.95
480,Barra de Guaratiba,336,3577,2592,1090,5,NA,4380,2105.43
358,Barros Filho,1640,14049,9776,4536,3,NA,15223,1115.5
410,Benfica,18349,25081,17790,7494,1,NA,19017,1887.3
379,Bento Ribeiro,3661,43707,30623,14736,3,NA,46507,2545.85
381,Bonsucesso,46536,18711,13080,6597,3,NA,19298,2464.27
455,Botafogo,80963,82890,60321,33217,2,NA,78259,7106.47
351,Brás de Pina,2585,59222,41591,18430,3,NA,59389,2262.74
408,Cachambi,5784,42415,30125,14599,3,NA,41334,3803.87
345,Cacuia,3284,11013,7836,3644,3,NA,9952,2453.73
482,Caju,4850,20477,13996,6373,1,NA,17679,1269.57
461,Camorim,198,1970,1452,640,4,NA,786,3939.4
403,Campinho,3881,10156,7017,3286,3,NA,9407,3079.26
391,Campo dos Afonsos,1743,1365,989,373,5,NA,1515,6185.07
510,Campo Grande,66977,328370,232300,101888,5,NA,297494,2310.9
398,Cascadura,9107,34456,23627,11034,3,NA,33526,2346.71
447,Catete,6018,24057,17049,9832,2,NA,21724,4870.59
443,Catumbi,1997,12556,8437,3964,1,NA,12914,1948.59
390,Cavalcanti,656,16141,11094,5211,3,NA,15773,1649.89
422,Centro,500209,41142,30534,19305,1,NA,39135,2819.99
457,Cidade de Deus,1352,36515,24628,11221,4,NA,38016,1437.99
434,Cidade Nova,107968,5466,3836,1846,1,NA,5282,2346.79
367,Cidade Universitária,17365,1556,1124,452,3,NA,1736,2549.08
334,Cocotá,798,4877,3486,1647,3,NA,4910,3698.42
355,Coelho Neto,11463,32423,22484,10692,3,NA,32052,1714.1
361,Colégio,2150,29245,20346,9226,3,NA,26488,1692.27
376,Complexo do Alemão,0,69143,47587,20971,3,NA,65026,1187.34
466,Copacabana,53305,146392,98861,62913,2,NA,147021,6665.54
338,Cordovil,7175,45202,31268,14255,3,NA,46533,1688.95
453,Cosme Velho,2289,7178,5032,2304,2,NA,7229,7874.71
406,Cosmos,1701,77007,53275,23529,5,NA,65961,1435.21
350,Costa Barros,308,28442,19079,8503,3,NA,25922,1147.85
454,Curicica,17429,31189,22156,9680,4,NA,24839,2308.29
396,Del Castilho,7008,15610,10837,5091,3,NA,14246,2313.35
483,Deodoro,727,10842,7460,3270,5,NA,11593,1786.38
417,Encantado,1398,15021,10643,4806,3,NA,15412,2755.7
394,Engenheiro Leal,504,6113,4315,1868,3,NA,6196,1846.77
375,Engenho da Rainha,1756,26659,18472,8775,3,NA,27311,2148.06
411,Engenho de Dentro,8278,45540,31770,14889,3,NA,46834,2891.88
427,Engenho Novo,11195,42172,29743,13534,3,NA,44472,2859.63
441,Estácio,7522,17189,12001,5544,1,NA,20632,2224.64
448,Flamengo,17488,50043,34387,22420,2,NA,53268,7612.58
326,FreguesiaI,1943,19437,13962,6356,3,NA,18371,2801.22
433,FreguesiaJ,25604,70511,50630,22994,4,NA,54010,4815.33
328,Galeão,14869,22971,16140,6725,3,NA,21633,2269.71
420,Gamboa,1485,13108,9177,4129,1,NA,10490,1438.21
463,Gardênia Azul,2638,17715,12849,5715,4,NA,19268,1847.88
470,Gávea,14933,16003,11610,5975,2,NA,17475,8899.89
512,Gericinó,0,15167,14301,0,5,NA,NA,1265.92
438,Glória,17391,9661,7046,4391,2,NA,10098,4714.94
444,Grajaú,3763,38671,26887,13865,2,NA,38296,5382.81
481,Grumari,0,167,114,-,4,NA,136,973.32
356,Guadalupe,4432,47144,32723,15646,3,NA,46325,1965.56
450,Guaratiba,6091,110049,75223,31773,5,NA,87312,1486.91
392,Higienópolis,8071,15734,11266,5316,3,NA,16587,2881.83
362,Honório Gurgel,858,21989,15125,7157,3,NA,22010,1815.64
462,Humaitá,5717,13285,9718,5568,2,NA,15186,8044.78
382,Inhaúma,12070,45698,31060,14620,3,NA,42722,1797.43
414,Inhoaíba,3699,64649,44496,19484,5,NA,59536,1427.47
473,Ipanema,24550,42743,28608,16818,2,NA,46808,10387.87
346,Irajá,19971,96382,67969,32271,3,NA,101859,2674.63
469,Itanhangá,2450,38415,27984,12267,4,NA,21813,3093.18
416,Jacaré,9406,9276,6342,2605,3,NA,7392,1896.78
460,Jacarepaguá,16579,157326,113351,51318,4,NA,100822,2279.76
407,Jacarezinho,0,37839,26654,11230,3,NA,36459,1163.03
335,Jardim América,7710,25226,18120,7967,3,NA,25946,1996.61
464,Jardim Botânico,11547,18009,12827,6789,2,NA,19560,10284.57
336,Jardim Carioca,3015,24848,17754,8232,3,NA,25202,2785.1
339,Jardim Guanabara,7004,32213,23190,10984,3,NA,29886,6574.55
402,Jardim Sulacap,3538,13062,9426,4311,5,NA,11221,4033.48
479,Joá,717,818,604,-,4,NA,971,16906.04
468,Lagoa,4808,21198,15289,8067,2,NA,18675,14282.72
449,Laranjeiras,17203,45554,32199,18431,2,NA,46381,7858.43
472,Leblon,22707,46044,31161,18584,2,NA,46670,10965.23
467,Leme,1750,14799,10130,5848,2,NA,14157,7222.85
432,Lins de Vasconcelos,2776,37487,26157,11778,3,NA,35171,3061.23
385,Madureira,25385,50106,34828,16691,3,NA,51410,2391.04
388,Magalhães Bastos,773,24430,17227,8035,5,NA,24849,1941.52
428,Mangueira,410,17835,11816,4890,1,NA,13594,1435.8
393,Manguinhos,12802,36160,24395,10589,3,NA,31059,1179.64
437,Maracanã,25265,25256,18228,9567,2,NA,27319,6257.83
365,Maré,1661,129770,90674,41251,3,NA,113807,1228.56
372,Marechal Hermes,3680,48061,33352,15821,3,NA,49186,2213.35
400,Maria da Graça,2109,7972,5592,2774,3,NA,8189,3181.51
419,Méier,17860,49828,34538,17624,3,NA,51344,4875.44
331,Moneró,794,6476,4610,2255,3,NA,6180,5068.63
363,Olaria,10524,57514,39677,19579,3,NA,62509,2549.95
386,Oswaldo Cruz,3054,34040,23789,11692,3,NA,35901,2330.77
374,Paciência,3996,94626,64989,28453,5,NA,83561,1413.85
378,Padre Miguel,3897,64228,44949,20918,5,NA,64754,1924.75
325,Paquetá,243,3361,2192,1238,1,NA,3421,2811
340,Parada de Lucas,2961,23923,16558,7116,3,NA,23269,1411.92
357,Parque Anchieta,1006,26212,18377,8436,3,NA,27092,2180.89
341,Parque Colúmbia,0,9202,6301,2862,3,NA,9194,1663.65
337,Pavuna,13296,97350,66770,30643,3,NA,90027,1702.08
445,Pechincha,12278,34709,25236,11988,4,NA,31615,4371.01
476,Pedra de Guaratiba,1973,9488,6609,2882,5,NA,9693,2296.41
352,Penha,24161,78678,56116,23285,3,NA,72692,2132.3
343,Penha Circular,24065,47816,33327,14769,3,NA,51113,2412.19
397,Piedade,6514,43378,30342,13840,3,NA,44111,2547.49
395,Pilares,12606,27250,18853,8990,3,NA,28956,2077.2
349,Pitangueiras,72,11756,8260,3837,3,NA,11605,2203.75
330,Portuguesa,2167,23856,16809,8109,3,NA,24733,3567.4
435,Praça da Bandeira,13175,8662,6149,3251,2,NA,9102,4571.99
409,Praça Seca,3666,64147,44262,19799,4,NA,59657,2807.19
342,Praia da Bandeira,532,5948,4297,2075,3,NA,6587,3573.42
401,Quintino Bocaiúva,9636,31185,21797,10222,3,NA,34757,2459.36
369,Ramos,20846,40792,28676,13815,3,NA,37537,2380.46
370,Realengo,15469,180123,125664,58814,5,NA,176277,1932.43
477,Recreio dos Bandeirantes,18060,82240,60694,25505,4,NA,37572,6723.82
424,Riachuelo,2237,12653,9005,4243,3,NA,13107,3456.4
354,Ribeira,2120,3528,2448,1231,3,NA,3323,4591.59
360,Ricardo de Albuquerque,1329,29310,20574,9655,3,NA,27383,1696.72
439,Rio Comprido,22672,43764,30769,13986,1,NA,34833,2871.69
418,Rocha,4154,8766,6276,2991,3,NA,9542,3560.99
368,Rocha Miranda,4197,44188,30795,14101,3,NA,41253,2022.1
475,Rocinha,0,69356,49908,23105,2,NA,56338,1209.17
423,Sampaio,1130,10895,7602,3096,3,NA,10508,2240.82
387,Santa Cruz,30760,217333,148003,64552,5,NA,191836,1472.24
440,Santa Teresa,2265,40926,30233,15090,1,NA,41145,2943.23
384,Santíssimo,3939,41458,29391,12906,5,NA,34086,1680.61
421,Santo Cristo,90939,12330,8714,4019,1,NA,9618,1661.46
474,São Conrado,4538,10980,7832,3556,2,NA,11155,12924.51
412,São Cristóvão,69075,26510,19279,8160,1,NA,38334,2849.91
426,São Francisco Xavier,13238,8343,5920,2634,3,NA,7787,3012.94
425,Saúde,11333,2749,2000,915,1,NA,2186,1914.22
389,Senador Camará,3375,105515,72979,33651,5,NA,111231,1527.42
405,Senador Vasconcelos,1391,30600,21706,9609,5,NA,27285,1893.62
458,Sepetiba,1428,56575,37513,17607,5,NA,35892,1428.43
429,Tanque,5627,37856,26766,11676,4,NA,32462,2486.86
430,Taquara,27339,102126,73706,31677,4,NA,93741,3182.04
329,Tauá,2289,29567,20764,9231,3,NA,33184,2309.93
442,Tijuca,74680,163805,112191,60452,2,NA,163636,6053.78
415,Todos os Santos,2455,24646,17706,8618,3,NA,22927,4869.26
383,Tomás Coelho,807,22676,15771,7462,3,NA,21580,1981.95
380,Turiaçu,1399,17246,11945,5433,3,NA,16054,2084.27
456,Urca,983,7061,4991,2322,2,NA,6750,8767.72
451,Vargem Grande,2465,14039,9926,4123,4,NA,9306,2562.33
465,Vargem Pequena,1036,27250,19207,7548,4,NA,11536,2209.21
413,Vasco da Gama,0,15482,10924,5020,1,NA,NA,2075.47
377,Vaz Lobo,2165,15167,10655,4864,3,NA,12177,1929.41
373,Vicente de Carvalho,3859,24964,17111,8099,3,NA,24310,1841.69
478,Vidigal,1461,12797,9074,4247,2,NA,13719,1639.85
333,Vigário Geral,15469,41820,28730,12535,3,NA,39563,1420.63
364,Vila da Penha,6785,25465,18101,30464,3,NA,24 290,3873.03
436,Vila Isabel,15464,86018,60155,5716,2,NA,81858,4534.17
371,Vila kosmos,964,18274,12976,8831,3,NA,17 673,2695.76
366,Vila Militar,60,13184,9363,4095,5,NA,13691,2805.79
399,Vila Valqueire,9216,32279,23086,9849,4,NA,31717,4091.93
359,Vista Alegre,2381,8622,6090,2921,3,NA,8347,3132.26
353,Zumbi,261,2016,1432,711,3,NA,2041,4573.94
0,Belford Roxo - RJ,31973,0,0,0,0,0,0,0
0,Cachoeiras de Macacu - RJ,6524,0,0,0,0,0,0,0
0,Duque de Caxias - RJ,153689,0,0,0,0,0,0,0
0,Guapimirim - RJ,4931,0,0,0,0,0,0,0
0,Itaboraí - RJ,26353,0,0,0,0,0,0,0
0,Itaguaí - RJ,28259,0,0,0,0,0,0,0
0,Japeri - RJ,5471,0,0,0,0,0,0,0
0,Magé - RJ,23888,0,0,0,0,0,0,0
0,Maricá - RJ,14190,0,0,0,0,0,0,0
0,Mesquita - RJ,15933,0,0,0,0,0,0,0
0,Nilópolis - RJ,17313,0,0,0,0,0,0,0
0,Niterói - RJ,173694,0,0,0,0,0,0,0
0,Nova Iguaçu - RJ,98052,0,0,0,0,0,0,0
0,Paracambi - RJ,5349,0,0,0,0,0,0,0
0,Petrópolis - RJ,68974,0,0,0,0,0,0,0
0,Queimados - RJ,15107,0,0,0,0,0,0,0
0,Rio Bonito - RJ,16195,0,0,0,0,0,0,0
0,São Gonçalo - RJ,111221,0,0,0,0,0,0,0
0,São João de Meriti - RJ,57188,0,0,0,0,0,0,0
0,Seropédica - RJ,13092,0,0,0,0,0,0,0
0,Tanguá - RJ,3543,0,0,0,0,0,0,0
